status,book_id,book_title,book_author,source,source_id,match_score,matched_title,matched_author,cover_url,isbn_10,isbn_13,fields_to_update
updated,10fcaee9-1784-44ce-9560-7ce509b5de13,Einstein,Walter Isaacson,google_books,x7vaDgAAQBAJ,1.0,Einstein,Walter Isaacson,https://books.google.com/books/content?id=x7vaDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0743264746,9780743264747,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,8c685948-97cd-4462-848c-db2aa95a9489,Loonshots,Safi Bahcall,google_books,cZ9aDwAAQBAJ,1.0,Loonshots,Safi Bahcall,https://books.google.com/books/content?id=cZ9aDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1250185971,9781250185976,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,b4feb55a-d7de-48ae-93a1-6b6a0a3695f8,Measure What Matters,John Doerr,google_books,TPlFDwAAQBAJ,1.0,Measure What Matters,John Doerr,https://books.google.com/books/content?id=TPlFDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0241983886,9780241983881,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,e17da89b-cf48-43be-a498-93a0b5278e2c,Seeking Wisdom,Peter Bevelin,google_books,oNexkgEACAAJ,1.0,Seeking Wisdom,Peter Bevelin,https://covers.openlibrary.org/b/id/9671797-L.jpg,1587991888,9781587991882,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,9f0e0132-d60e-46b5-bfda-649eb3f1621b,The Beginning of Infinity,David Deutsch,google_books,ex5xge75SR4C,1.0,The Beginning of Infinity,David Deutsch,https://books.google.com/books/content?id=ex5xge75SR4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0141969695,9780141969695,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,7f3909cf-f46a-44b9-bf46-fa6726238e2e,The EMyth Revisited,Michael E. Gerber,open_library,/works/OL1821254W,0.9826,The E-myth revisited,Michael E. Gerber,https://covers.openlibrary.org/b/id/684209-L.jpg,,,cover_image_url | language | last_enriched_at | open_library_id
updated,4e515d9e-2d9f-460c-bc9d-21455d16a7a8,The Magic of Thinking Big,David J Schwartz,google_books,Bhd-BAAAQBAJ,1.0,The Magic of Thinking Big,David J. Schwartz,https://books.google.com/books/content?id=Bhd-BAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0698198581,9780698198586,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
no_match,1f8eb284-bb28-42e9-bcda-c396ef7298a4,The Outsiders,William N. Thorndike,,,,,,,,,
updated,3408fac2-0edd-4c9a-a3f7-f7dd47df5da6,The Score Takes Care of Itself,Bill Walsh,open_library,/works/OL2776380W,1.0,The Score Takes Care of Itself,"Walsh, Bill",https://covers.openlibrary.org/b/id/9522341-L.jpg,1101109017,9781101109014,cover_image_url | description | isbn_10 | isbn_13 | language | last_enriched_at | open_library_id | page_count | publisher
updated,0b5d13c3-bbc7-40fe-9a14-f9c5ddc3f56a,Titan,Ron Chernow,google_books,Mleb5acWQF4C,1.0,Titan,Ron Chernow,https://books.google.com/books/content?id=Mleb5acWQF4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0307429776,9780307429773,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
