status,object_path,filename,public_url,book_id,book_title,book_author,old_cover_image_url
updated,Tattered Loyalties.png,Tattered Loyalties.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Tattered%20Loyalties.png,9bd9f164-ed8e-4e87-b982-b795a2a3dd99,Tattered Loyalties,Carrie Ann Ryan,Tattered Loyalties.png
updated,Teach Your Herding Breed to Be a Great Companion Dog.png,Teach Your Herding Breed to Be a Great Companion Dog.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Teach%20Your%20Herding%20Breed%20to%20Be%20a%20Great%20Companion%20Dog.png,7fa9e7f8-9f90-492b-a510-d3189df72972,Teach Your Herding Breed to Be a Great Companion Dog,Dawn AntoniakMitchell,Teach Your Herding Breed to Be a Great Companion Dog.png
updated,Teach Yourself to Meditate.png,Teach Yourself to Meditate.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Teach%20Yourself%20to%20Meditate.png,01858517-1502-455f-ab87-3977901b2bbc,Teach Yourself to Meditate,Eric Harrison,Teach Yourself to Meditate.png
updated,Teach Yourself to Play Guitar.png,Teach Yourself to Play Guitar.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Teach%20Yourself%20to%20Play%20Guitar.png,6a8e8a28-1861-4dc5-8e57-96e76c1ff38e,Teach Yourself to Play Guitar,David M. Brewster,Teach Yourself to Play Guitar.png
updated,"Technical Analysis Explained, Fifth Edition.png","Technical Analysis Explained, Fifth Edition.png",https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Technical%20Analysis%20Explained%2C%20Fifth%20Edition.png,d3a47f59-9ce5-4d8d-9492-9137d88c8797,"Technical Analysis Explained, Fifth Edition",Martin J. Pring,"Technical Analysis Explained, Fifth Edition.png"
updated,Technological Slavery.png,Technological Slavery.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Technological%20Slavery.png,1f8a9138-9a9c-48fd-8b22-47de98825e4a,Technological Slavery,Theodore Kaczynski,Technological Slavery.png
updated,Tell Morning This.png,Tell Morning This.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Tell%20Morning%20This.png,9bcbaccc-5dbe-4f7d-9e4b-8545d0dbd88b,Tell Morning This,Kylie Tennant,Tell Morning This.png
updated,Tempting the Devil.png,Tempting the Devil.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Tempting%20the%20Devil.png,ddcf3752-8e8d-4e20-8b64-1e6110c989f6,Tempting the Devil,Patricia Potter,Tempting the Devil.png
updated,Ten Little Fingers and Ten Little Toes.png,Ten Little Fingers and Ten Little Toes.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Ten%20Little%20Fingers%20and%20Ten%20Little%20Toes.png,32dc8d25-5bea-48aa-8b67-3aed5290cea9,Ten Little Fingers and Ten Little Toes,Mem Fox,Ten Little Fingers and Ten Little Toes.png
updated,Thank You for Smoking.png,Thank You for Smoking.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Thank%20You%20for%20Smoking.png,88b2bec3-1dae-4605-93d8-fe77890bdf68,Thank You for Smoking,Christopher Buckley,Thank You for Smoking.png
updated,The 100 Best Astrophotography Targets.png,The 100 Best Astrophotography Targets.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/The%20100%20Best%20Astrophotography%20Targets.png,8506c36a-b6b5-4a8a-89ee-264368033924,The 100 Best Astrophotography Targets,Ruben Kier,The 100 Best Astrophotography Targets.png
